,#,When,Who,Problem,Lang,Verdict,Time,Memory
52,64338679,Nov/06/2019 03:24,friedrich_hayek,A - Ball Game,GNU C11,Wrong answer on test 3,30 ms,0 KB
53,64338101,Nov/06/2019 02:47,friedrich_hayek,A - Gravity Flip,GNU C11,Accepted,31 ms,0 KB
54,64337929,Nov/06/2019 02:35,friedrich_hayek,A - Nastya and an Array,GNU C11,Accepted,46 ms,800 KB
55,64337754,Nov/06/2019 02:24,friedrich_hayek,A - Nastya and an Array,GNU C11,Time limit exceeded on test 6,1000 ms,400 KB
56,64337722,Nov/06/2019 02:22,friedrich_hayek,A - Nastya and an Array,GNU C11,Wrong answer on test 4,15 ms,0 KB
57,64326855,Nov/05/2019 20:39,friedrich_hayek,A - Cupboards,GNU C11,Wrong answer on test 3,30 ms,0 KB
58,64326587,Nov/05/2019 20:33,friedrich_hayek,A - Cupboards,GNU C11,Wrong answer on test 2,30 ms,0 KB
59,64308330,Nov/05/2019 15:01,friedrich_hayek,B - Array Stabilization,GNU C11,Accepted,46 ms,400 KB
60,64308247,Nov/05/2019 15:00,friedrich_hayek,B - Array Stabilization,GNU C11,Wrong answer on test 3,30 ms,400 KB
61,64307976,Nov/05/2019 14:56,friedrich_hayek,B - Array Stabilization,GNU C11,Wrong answer on test 3,31 ms,400 KB
62,64302396,Nov/05/2019 13:29,friedrich_hayek,A - Is it rated?,GNU C11,Accepted,31 ms,0 KB
63,64267264,Nov/04/2019 20:45,friedrich_hayek,A - Minimum Difficulty,GNU C11,Accepted,31 ms,0 KB
64,64266366,Nov/04/2019 20:29,friedrich_hayek,A - Candy Bags,GNU C11,Accepted,92 ms,0 KB
65,64180987,Nov/04/2019 03:35,friedrich_hayek,A - Detective Book,GNU C11,Wrong answer on test 3,15 ms,0 KB
66,64180219,Nov/04/2019 02:45,friedrich_hayek,A - DZY Loves Hash,GNU C11,Accepted,31 ms,0 KB
67,64180198,Nov/04/2019 02:44,friedrich_hayek,A - DZY Loves Hash,GNU C11,Wrong answer on test 11,30 ms,0 KB
68,64168290,Nov/03/2019 20:16,friedrich_hayek,A - Diagonal Walking,GNU C11,Accepted,31 ms,0 KB
69,64167145,Nov/03/2019 19:45,friedrich_hayek,A - Yet Another Dividing into Teams,GNU C11,Accepted,31 ms,0 KB
70,64109800,Nov/02/2019 21:12,friedrich_hayek,A - Superhero Transformation,GNU C11,Wrong answer on test 34,31 ms,0 KB
71,64109351,Nov/02/2019 21:01,friedrich_hayek,A - Juicer,GNU C11,Wrong answer on test 5,31 ms,0 KB
72,64109142,Nov/02/2019 20:56,friedrich_hayek,A - Juicer,GNU C11,Wrong answer on test 5,31 ms,0 KB
73,64108458,Nov/02/2019 20:39,friedrich_hayek,A - I Wanna Be the Guy,GNU C11,Accepted,31 ms,0 KB
74,64049036,Nov/01/2019 23:38,friedrich_hayek,A - Find Square,GNU C11,Accepted,31 ms,0 KB
75,63993630,Nov/01/2019 16:54,friedrich_hayek,A - Bear and Game,GNU C11,Wrong answer on test 7,15 ms,0 KB
76,63993441,Nov/01/2019 16:51,friedrich_hayek,A - Bear and Game,GNU C11,Wrong answer on test 4,15 ms,0 KB
77,63948662,Oct/31/2019 23:01,friedrich_hayek,A - Line to Cashier,GNU C11,Accepted,31 ms,0 KB
78,63946414,Oct/31/2019 22:08,friedrich_hayek,A - Grasshopper And the String,GNU C11,Accepted,31 ms,0 KB
79,63946275,Oct/31/2019 22:05,friedrich_hayek,A - Grasshopper And the String,GNU C11,Wrong answer on test 10,15 ms,0 KB
80,63946233,Oct/31/2019 22:03,friedrich_hayek,A - Grasshopper And the String,GNU C11,Wrong answer on test 4,31 ms,0 KB
81,63945615,Oct/31/2019 21:50,friedrich_hayek,A - Epic Game,GNU C11,Accepted,62 ms,0 KB
82,63882622,Oct/31/2019 00:57,friedrich_hayek,A - Twins,GNU C11,Accepted,62 ms,0 KB
83,63882272,Oct/31/2019 00:43,friedrich_hayek,A - Book Reading,GNU C11,Accepted,15 ms,0 KB
84,63881716,Oct/31/2019 00:21,friedrich_hayek,A - Dragons,GNU C11,Accepted,62 ms,0 KB
85,63881694,Oct/31/2019 00:20,friedrich_hayek,A - Dragons,GNU C11,Wrong answer on test 9,60 ms,0 KB
86,63881341,Oct/31/2019 00:09,friedrich_hayek,A - Dragons,GNU C11,Wrong answer on test 4,62 ms,0 KB
87,63878918,Oct/30/2019 23:00,friedrich_hayek,A - Romaji,GNU C11,Accepted,31 ms,0 KB
88,63741544,Oct/29/2019 20:07,friedrich_hayek,A - Stock Arbitraging,GNU C11,Accepted,31 ms,0 KB
89,63732355,Oct/29/2019 17:23,friedrich_hayek,A - Search for Pretty Integers,GNU C11,Accepted,31 ms,0 KB
90,63730113,Oct/29/2019 16:47,friedrich_hayek,A - Tetris,GNU C11,Accepted,31 ms,0 KB
91,63729391,Oct/29/2019 16:35,friedrich_hayek,A - Fraction,GNU C11,Accepted,31 ms,0 KB
92,63653854,Oct/28/2019 15:09,friedrich_hayek,A - Equalize Prices Again,GNU C11,Accepted,31 ms,0 KB
93,63653291,Oct/28/2019 15:00,friedrich_hayek,A - Vanya and Cubes,GNU C11,Wrong answer on test 3,15 ms,0 KB
94,63555140,Oct/27/2019 15:41,friedrich_hayek,A - Soft Drinking,GNU C11,Accepted,62 ms,0 KB
95,63379140,Oct/25/2019 14:57,friedrich_hayek,A - Gotta Catch Em' All!,GNU C11,Wrong answer on test 13,31 ms,0 KB
96,63378926,Oct/25/2019 14:53,friedrich_hayek,A - Gotta Catch Em' All!,GNU C11,Wrong answer on test 7,15 ms,0 KB
